A,B,result
Reinforcement learning,Procedural programming,0
Multiplication,Information assurance,0
Assembly language,File system,0
Data mining,Martingale (probability theory),0
Computer programming,Operating system,0
Computation,Database management system,0
C++,Graphical user interface,0
Inference,Programming style,0
Kinematics,Sufficient statistic,0
Web search engine,List of undecidable problems,0
Database normalization,Formal methods,0
Formal grammar,Approximation algorithm,0
3D modeling,Programming language,0
Data mining,Robot,0
Motion planning,Program optimization,0
Sequence alignment,Image,0
Wireless sensor network,Coding theory,0
Deadlock,Part-of-speech tagging,0
Lock (computer science),Shared memory,0
PageRank,Prediction,0
Graphics,Suffix tree,0
Quantum cryptography,Peer-to-peer,0
3D modeling,Motion planning,0
Computer software,Design of experiments,0
Distributed computing,Cache coherence,0
Haskell (programming language),Formal verification,0
Index (database),Recursion,0
Shared memory,Stochastic,0
Authentication,Discrete mathematics,0
Complexity class,Randomization,0
Introduction to Algorithms,hypothesis testing,0
Information assurance,Feature extraction,0
Software engineering,Spanning tree,0
Bayesian network,Lazy evaluation,0
PageRank,Computer software,0
Number theory,Pattern recognition,0
Statistical inference,User interface,0
Kinematics,Estimation theory,0
Software engineering,Encryption,0
Message Passing Interface,Symmetric multiprocessing,0
Finite difference,Web browser,0
Higher-order function,3D computer graphics,0
Spanning tree,Natural language,0
Microcode,Hidden line removal,0
Computational complexity theory,Robot,0
Superscalar,Data type,0
Design of experiments,Amortized analysis,0
Continuous function,Theoretical computer science,0
Mathematical optimization,Formal verification,0
Automata theory,Scalability,0
Hidden Markov model,Coding theory,0
Undecidable problem,Run time (program lifecycle phase),0
Ray tracing (graphics),Information theory,0
Computational problem,Undecidable problem,0
Virtual reality,3D modeling,0
Robotics,Database system,0
Programming paradigm,Calculus,0
Polynomial,Amortized analysis,0
Formal language,Concurrency control,0
Knowledge representation and reasoning,World Wide Web,0
Personal computer,String searching algorithm,0
Finite element method,Fixed point (mathematics),0
Number theory,Computability,0
Probability theory,Floating point,0
Database management system,HTML,0
Geometry,Fixed point (mathematics),0
Computer programming,Sufficient statistic,0
Programmer,OSI model,0
Machine translation,Database management system,0
Symbol table,First-order logic,0
Predicate logic,Data analysis,0
PageRank,Very long instruction word,0
Lexical semantics,Randomized algorithm,0
Computational problem,Finite element method,0
Query language,Denotational semantics,0
System programming,Parsing,0
Graphics,Context-free language,0
Programming paradigm,Index (database),0
Suffix tree,Partial differential equation,0
ML (programming language),Very long instruction word,0
Computer multitasking,Interactivity,0
Computer multitasking,Information theory,0
Scientific modelling,Number theory,0
C++,Calculus of variations,0
Conditional probability,Visualization (computer graphics),0
Computer architecture,Suffix tree,0
Operating system,Iterative method,0
Decision theory,Predicate logic,0
Database transaction,Computation,0
Gradient descent,String (computer science),0
Programming paradigm,Program optimization,0
Syntax,Transaction processing,0
Recursion,Linked list,0
Computational chemistry,Mathematical optimization,0
Randomness,Pattern matching,0
Dynamic programming,3D computer graphics,0
Memory hierarchy,File system,0
Game theory,Control flow,0
Computer security,Web search engine,0
Automated theorem proving,Communication,0
Randomization,Concurrent computing,0
Bioinformatics,Social network,0
Amortized analysis,Conditional probability,0
Computer vision,Statistical inference,0
Cryptographic hash function,Relational algebra,0
Arithmetic,Statistical inference,0
Information security,Natural language processing,0
Application software,Web search engine,0
Stochastic process,Robotics,0
Queue (data structure),Information theory,0
Debugging,Formal methods,0
Machine learning,High-level programming language,0
Peer-to-peer,Firewall (computing),0
Software engineering,User interface,0
Superscalar,Personal computer,0
Propositional calculus,Queue (data structure),0
Software development,Packet switching,0
Random variable,Hidden line removal,0
Congestion control,Partial differential equation,0
Relational database,Visualization (computer graphics),0
Hidden Markov model,Database system,0
Interaction design,Context-free grammar,0
Tensor,Garbage collection (computer science),0
Quantum computer,Authentication,0
Data analysis,Polynomial,0
Lexical semantics,Large deviations theory,0
Computational science,Turing machine,0
Wavelet,Cache coherence,0
Big data,Python (programming language),0
Cache coherence,Algorithm,0
File system,Embedded system,0
Functional programming,Interaction design,0
MATLAB,Database design,0
Approximation algorithm,Computer graphics,0
Halting problem,Expert system,0
Finite-state machine,Estimation theory,0
Congestion control,Pushdown automata,0
Computer architecture,Multiplication,0
Virtual reality,Hash table,0
Discrete mathematics,Social network,0
Integral,Decision theory,0
Part-of-speech tagging,Pattern matching,0
Continuous function,Abstract data type,0
Calculus of variations,Foundations of mathematics,0
Calculus of variations,Reason,0
Predicate logic,Functional programming,0
Computational complexity theory,Multiplication,0
Inequality (mathematics),Database normalization,0
Image processing,Approximation algorithm,0
Approximation algorithm,Robotics,0
CPU cache,Cryptographic hash function,0
Newton's method,Data type,0
Linear system,Telecommunications network,0
Sufficient statistic,Polynomial,0
Problem solving,Asymptotic analysis,0
Probability,Randomized algorithm,0
Flow network,Coding theory,0
Markov process,Context-free grammar,0
Image,Software engineering,0
Random walk,Index (database),0
"Best, worst and average case",Debugging,0
Human-computer interaction,Cryptography,0
Recursion (computer science),Signal processing,0
Lock (computer science),Queue (data structure),0
